table_field1,table_field2,table_field3,div_content
国家文物局关于在正边台长城1道1段保护区划内进行张北至雄安1000千伏特高压交流输变电建设项目的意见,文物保函[2019]503号,"涉建项目,行政审批",文物保函〔 2019〕503号 河北省文物局： 你局《关于呈报张北至雄安1000千伏特高压交流输变电工程包1段跨越长城设计方案的请示》（冀文物字〔2019〕34号）收悉。经研究，我局原则同意在正边台长城1道1段保护区划内实施张北至雄安1000千伏特高压交流输变电建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）应进一步优化拟建铁塔选址，尽量加大铁塔与长城本体之间的距离；在符合相关标准规范的前提下，尽可能将1SN110号铁塔移至长城建设控制地带以外。 （二）应细化项目施工方案，尽量减少铁塔基础部分的土方开挖量，明确施工场地布置和施工后期的场地清理、生态环境恢复措施，避免施工过程对长城本体及环境造成破坏。 （三）应补充项目施工、运营期间的文物本体监测措施和应急预案，极端天气条件下铁塔防倾倒措施，以及必要的隔振、减振措施，避免施工和运营振动威胁长城文物本体安全。 二、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 三、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年5月30日
国家文物局关于在明长城遗址大路沟段保护区划内实施兰州石化至中川机场航煤管道工程建设项目的意见,文物保函[2018]1468号,"涉建项目,行政审批",文物保函 〔2018〕1468号 甘肃省文物局： 你局《关于呈报兰州石化至中川机场航煤管道工程通过明长城遗址设计方案的请示》（甘文局发〔2018〕178号）收悉。经研究，我局原则同意按照方案一在明长城遗址大路沟段保护范围和建设控制地带内实施兰州石化至中川机场航煤管道工程建设项目。 一、所报方案一尚需做以下必要的修改和完善： （一）应组织专业考古机构对拟建项目区域开展进一步考古调查勘探和必要的考古发掘，摸清拟建项目相关区域长城遗址地下基底部分埋藏情况，相关设施建设须严格避让长城遗址相关遗迹、遗存。 （二）应明确顶管设计参数，细化技术保障措施、顶管顶进速度控制措施，深化拟建项目施工规范，确保不超挖、勤量测、少偏移，制定防渗漏措施、污染物处置措施。防止顶管施工过程中威胁明遗址的安全。 （三）应细化施工和运营期间的监测措施，关注长城遗址及其下部基础受拟建项目影响情况，并编制相应的应急预案。 （四）应补充施工后期相关区域场地清理措施、环境修复措施和长城遗址标识措施。 二、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 三、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2018年11月22日
国家文物局关于明长城神木段保护区划内新建神瓦铁路神木北（张家峁）至冯家川段建设项目变更方案的意见,文物保函[2019]534号,"涉建项目,行政审批",文物保函〔 2019〕534号 陕西省文物局： 你局《关于新建神瓦铁路神木北（张家峁）至冯家川段方案变更部分建设工程穿越长城遗址的请示》（陕文物字〔2019〕42号）收悉。经研究，我局原则同意在明长城神木段保护区划内实施新建神瓦铁路神木北（张家峁）至冯家川段建设项目的变更方案。 一、所报方案尚需作以下必要的修改和完善： （一）应组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘。如有长城墙体及附属设施遗迹等重要发现，应调整设计方案，确保文物安全。 （二）应补充项目施工和运营期间的监测措施和应急预案，细化长城文物本体临时保护措施，减缓各类振动对长城文物本体的负面影响。 （三）应细化项目施工方案，明确施工场地布置、施工组织、料物运输、废弃物处置等要求，避免施工机械、设施及人员进入明长城保护范围。 （四）尽可能减少项目土方开挖量，进一步细化施工后期的环境恢复措施，并结合项目实施设置长城保护标志、保护界桩和警示标识。 二、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 三、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有地下文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年6月10日
国家文物局关于内蒙古自治区清水河县明长城板申沟1号敌台、新村3号敌台保护修缮项目的批复,文物保函[2018]820号,考古发掘,文物保函〔2018〕820号 内蒙古自治区文物局： 你局《关于明长城清水河段新村3号及板申沟1号保护维修方案的请示》（内文物字〔2018〕14号）收悉。经研究，我局意见如下： 一、原则同意开展内蒙古自治区清水河县明长城板申沟1号敌台（长城认定编码：150l24352101170015）、新村3号敌台（长城认定编码：150l24352101170015）保护修缮项目。 二、该工作应注意以下几方面： （一）切实加强前期勘察研究，进一步加强本体病害类型、成因和发展趋势勘察，明确裂缝深度、走向及分布数量， 补充墙体风化酥碱范围、程度及安全性评估，为科学编制修缮方案提供依据。 （二）敌台维修应以消除病害保持稳定、现状加固为主，不得过度剔补、恢复敌台形制。进一步缩小工程范围、核减施工量，针对不同部位、不同类型的病害，研提具体保护措施。 （三）应进一步完善工程做法，细化相关要求。论证采用“灰土挤密桩”的必要性，补充排水设计具体措施及新旧墙体拉结方式。 三、具体工程方案由你局根据上述意见指导相关单位编制，并经你局批准后实施，并报我局备案。 四、施工前应督促施工单位做好工地现场布置管理、岗前培训、围挡和支护等各项准备工作。 五、施工中请你局加强工程监管，及时开展工程检查，督促项目单位严格遵守文物保护工程相关法律法规、标准规范要求，做好施工组织管理，主动接受社会监督，确保工程质量和文物、人员安全。 六、项目竣工后，由你局按照《全国重点文物保护单位文物保护工程竣工验收管理暂行办法》的相关要求，严格做好竣工验收工作。 七、请你局切实加强管理，督促、指导相关单位做好维修后相关文物的日常养护和巡查工作，及时发现和排除隐患，确保文物安全。 专此函复。 ? ???????? ???????? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? 国家文物局 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? 2018年7月20日
国家文物局办公室关于甘肃（武威）国际陆港经七路道路工程涉及明长城土门林场段文物保护方案的意见,办保函[2018]332号,世界遗产,办保函〔2018〕332号 ? 甘肃省文物局： 你局《关于呈报甘肃（武威）国际陆港经七路道路工程涉及明长城土门林场段文物保护方案的报告》（甘文局发〔2018〕23号）收悉。经研究，我局暂不同意所报方案，并提出意见如下： 一、古浪明长城是明长城的重要组成部分和典型段落，长城文物本体与周边自然环境共同构成文化景观特征突出的文化遗产。应组织专业机构，从文物和文化景观保护角度，重新评估拟建甘肃（武威）国际陆港项目整体对长城的影响情况。 二、应补充基于更大范围地形测绘图纸的甘肃（武威）国际陆港项目建设总体规划图，明确拟建项目各工程项目与明长城分布位置、保护区划及周边景观要素的空间关系，并补充相关规划对此区域的管理控制规定。 三、应在进一步开展拟建甘肃（武威）国际陆港项目选址多方案论证和比选的基础上，根据文物影响评估结论，进一步优化、细化涉及长城的工程方案。其中，按照《长城保护条例》规定，拟穿越长城的建设工程宜采取地下隧道方式。 四、应细化拟建工程施工和运营期间对各类振动的监测措施，科学评估拟建项目对长城文物本体影响情况，并补充相应的应急预案和保护措施。 请你局指导相关单位根据以上意见，补充、深化拟建甘肃（武威）国际陆港项目文物影响评估报告，修改、完善工程方案，另行依法报批。 ? ??????????????????????? ? ???????????????????????????????????????????????????????? ??????? 国家文物局办公室 ? ?????????????? ??????????????????? ??????????????????????????????? 2018年4月16日
国家文物局办公室关于在青海明长城贵德古城和贵德文庙及玉皇阁建设控制地带内进行贵德古城保护与开发项目建设的意见,办保函[2018]355号,世界遗产,?办保函〔2018〕355号 青海省文物管理局： 你局《关于青海明长城贵德古城和贵德文庙及玉皇阁建设控制地带内进行贵德古城保护与开发项目建设的请示》（青文物局〔2018〕6号）收悉。经研究，我局暂不同意所报方案，并提出意见如下： 一、应进一步强化文物影响评估，深入分析拟实施项目对贵德古城遗产价值和真实性、完整性的影响。调整项目定位，取消大量无依据复原设计，以妥善保护贵德古城内各类文物建筑、遗址为前提，将全面展示贵德古城历史文化、合理利用文物资源作为目标和主要内容，将文物保护与当地经济社会发展有机结合，进一步优化项目方案。 二、应组织专业考古机构对建设项目涉及进行全面的考古调查、勘探和必要的考古发掘，对具有历史价值的地面遗存进行调查、评估，对历史文献进行梳理，厘清上述区域内文物遗迹分布和地下埋藏情况。 三、应补充完善相关图纸，明确标识拟建建筑、管廊等与明长城贵德古城和贵德文庙及玉皇阁保护区划的空间位置关系，各类建设项目选址应避让重要遗址分布区域，避免对文物造成破坏。 四、应细化方案设计，严格控制新建工程的规模，补充拟建建筑、管廊等相关施工技术、施工组织、场地布设、废弃物处置等要求，补充施工期间文物保护措施和施工后期环境修复措施。 请你局指导相关单位根据以上意见对所报项目进行修改、完善后，依法另行报批。 ? ???????????? ? 国家文物局办公室 ? 2018年4月20日
"国家文物局关于省级文物保护单位明长城、 秦长城遗址保护范围内靖边县龙洲丹霞旅游 道路拓
宽改造建设项目的意见",文物保函[2019]954号,"行政审批,涉建项目",文物保函〔2019〕954号 陕西省文物局： 你局《关于靖边县龙洲丹霞旅游道路拓宽改造项目穿越长城遗址的请示》（陕文物字〔2019〕104号）收悉。经研究，我局原则同意在省级文物保护单位明长城、秦长城遗址保护范围内实施靖边县龙洲丹霞旅游道路拓宽改造建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）补充拟建项目通过轮则壕-乔家坬则秦长城、甘沟村明长城2段长城遗址的详细设计方案，补充大比例尺实测地形图，明确拟建道路及相关设施与秦长城、明长城遗址保护范围、建设控制地带之间的空间关系。 （二）原则上不得在长城遗址保护范围内实施爆破、钻探、挖掘等作业，如确需实施长城下部载体挖掘作业，应严格控制施工范围，强化施工作业要求和风险防控措施，补充长城遗址保护和载体加固措施。 （三）完善拟建项目施工方案，补充施工和后期运营期间针对各类振动的控制、监测措施，并制定相应的应急预案。细化施工人员管理、设备组织、场地布置等要求和垃圾、泥浆等污染物处置措施。 （四）补充项目施工完成后的场地清理、环境恢复和遗址围护措施，并在相关区域设施长城保护标志、保护界桩、展示说明牌等标识、展示设施。遗址围护及环境修复应选取本地植物。 （五）拟建项目中涉及省级文物保护单位秦长城、明长城遗址建设控制地带的相关建设内容，应依法另行履行相关审批程序。 二、请你局组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年9月12日
"国家文物局办公室关于明长城八一烽火台建设控制地带内民勤县大坝镇沙葱基地及配套设施建设
项目的意见",办保函[2019]724号,"行政审批,涉建项目",办保函〔2019〕724号 甘肃省文物局： 你局《关于呈报民勤县大坝镇沙葱基地及配套设施建设项目涉及明长城文物保护设计方案的请示》（甘文局发〔2019〕106号）收悉。经研究，我局暂不同意在明长城八一烽火台建设控制地带内实施民勤县大坝镇沙葱基地及配套设施建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）进一步论证项目选址方案，补充比选方案，优化项目选址，加大拟建项目与明长城八一烽火台之间距离，避免烽火台周边历史及自然环境景观遭到彻底破坏。 （二）应对拟建项目区域开展考古调查勘探和必要的考古发掘，进一步明确长城相关遗存分布情况，为完善项目选址和建设方案提供依据。 （三）应完善项目设计方案，降低建筑高度，弱化建筑形制、色彩等外观设计，力求与八一烽火台周边环境景观相协调。同时应根据周边生态特征，制定施工后期环境修复措施。 （四）应补充拟建项目施工期间和运营期间的八一烽火台监测措施、临时保护措施及应急预案，确保文物安全。 二、请你局指导有关单位根据上述意见对方案进行修改完善后，按程序另行报批。 三、请你局指导地方政府对八一烽火台周边区域进行必要的环境整治和保护展示，改善八一烽火台保护展示状况，并设置长城保护标识设施。 专此函复。 国家文物局办公室 2019年8月15日
"国家文物局关于长城保护范围内北京市 密云区冯家峪镇冯家峪村上峪城堡 居民翻建房屋设计方
案的意见",文物保函[2019]935号,"行政审批,涉建项目",文物保函〔2019〕935号 北京市文物局： 你局《关于长城保护范围内北京市密云区冯家峪镇冯家峪村上峪城堡居民翻建房屋设计方案的请示》（京文物〔2019〕1138号）收悉。经研究，我局原则同意在长城保护范围内实施北京市密云区冯家峪镇冯家峪村上峪城堡居民翻建房屋建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）补充完善实测设计图纸，明确拟建项目与长城保护区划的空间关系，并对照保护区划管理规定，就拟建项目的符合性作出说明。 （二）补充开展上峪城堡平面布局调查，评估堡墙及现状建筑，明确其历史价值，记录其材料、形制及工艺，并在翻建工程中尽可能加以沿用。 （三）深化拟建项目设计方案，适当调整、增大拟翻建的建筑与堡墙之间的距离，补充空气源热泵选址及安装技术要求，补充上峪城堡环境整治措施。 二、请你局组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年9月5日
国家文物局关于燕北长城内线冷水塘1段 保护区划内朝阳建平至赤峰输气 管道工程建设项目的意见,文物保函[2019]904号,"行政审批,涉建项目",文物保函〔2019〕904号 内蒙古自治区文物局： 你局《关于朝阳建平至赤峰输气管道工程穿越燕北长城的请示》（内文物字〔2019〕54号）收悉。经研究，我局原则同意在燕北长城内线冷水塘1段保护区划内实施朝阳建平至赤峰输气管道工程建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）补充拟建项目从冷水塘1段长城西侧消失段通过的比选方案，同时完善文物影响评估，充分比较论证各方案的可行性，并就弱化项目对长城本体和景观环境的负面影响提出措施建议。 （二）如确需从遗址下部通过，应细化拟建项目施工方案，明确并尽可能加大地下管道通过长城遗址的埋置深度，细化施工控制措施，严格控制施工作业面的范围。 （三）细化拟建项目施工期间的监测措施，关注各类振动对长城本体的影响，制定必要的减振措施和相应的应急预案，确保文物安全。 （四）应明确施工期间的场地布置、施工组织、生态保护等要求和施工垃圾、污物处置措施，以及施工完成后的场地清理、环境恢复措施。 （五）补充在适当区域设置长城保护标志、保护界桩、展示说明牌等标识、展示设施的相关措施。 二、请你局组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年8月29日
"国家文物局关于长城保护区划内北京市 延庆区昌赤路（王家山-白河堡段） 道路工程建设项目的
意见",文物保函[2019]848号,"行政审批,涉建项目",文物保函〔2019〕848号 北京市文物局： 你局《关于长城保护范围及建控地带内北京市延庆区昌赤路（王家山-白河堡段）道路工程设计方案的请示》（京文物〔2019〕1075号）收悉。经研究，我局原则同意在长城保护区划内实施北京市延庆区昌赤路（王家山-白河堡段）道路工程建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）细化拟建隧道、桥梁、道路设计方案及施工方案，补充施工期间的长城临时性保护和监测措施，以及相关应急预案。 （二）在满足设备安装需求的前提下，尽可能降低隧道管理站监控大厅及辅助用房的设计高度，严格控制建筑规模和体量。 （三）强化道路及建筑周边绿化等相关措施，缓解项目对长城本体及其环境景观的负面影响。 （四）在适当区域设置长城保护标志、保护界桩、展示说明牌等标识、展示设施。 二、请你局组织专业考古机构对拟建项目相关区域做全面的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年8月20日
"国家文物局关于明长城天镇县化皮庙段 保护区划内天镇县环翠山风电场220kV 送出工程线路建设
项目的意见",文物保函[2019]894号,"行政审批,涉建项目",文物保函〔2019〕894号 山西省文物局： 你局《关于天镇县环翠山风电场220kV送出工程线路跨越明长城天镇县化皮庙段的请示》（晋文物〔2019〕98号）收悉。经研究，我局原则同意在明长城天镇县化皮庙段保护区划内实施天镇县环翠山风电场220kV送出工程线路建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）补充项目采取地下管线方式通过明长城保护区划的比选方案，同时细化文物影响评估，评估各方案可行性以及对长城本体及其周边环境景观的影响情况，并提出缓解措施和方案优化建议。 （二）补充项目方案一中T13、T14号铁塔选址区域的考古勘探、发掘资料，确保地下文物安全；同时完善铁塔设计方案，尽可能弱化其对长城环境景观的负面影响。 （三）补充项目施工期间明长城本体临时性保护措施，细化施工后期生态环境修复措施，补充极端天气条件下防范项目威胁明长城本体安全的保护措施和应急预案。 （四）补充在适当区域设置长城保护标志、保护界桩、展示说明牌等标识、展示设施等相关措施。 二、请你局组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年8月27日
国家文物局关于明长城靖边段保护区划内靖边县延929井区地面集输管线工程（靖边段）延948、913和靖65三条输气管线建设项目的意见,文物保函[2019]461号,"行政审批,涉建项目",文物保函〔2019〕461号 陕西省文物局： 你局《关于靖边县延929井区地面集输管线工程（靖边段）延948、913和靖65三条输气管线穿越长城遗址的请示》（陕文物字〔2019〕61号）收悉。经研究，我局原则同意在明长城靖边段保护区划内实施靖边县延929井区地面集输管线工程（靖边段）延948、913和靖65三条输气管线建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）应组织专业考古机构对拟建项目相关区域进行深入的考古调查勘探和必要的考古发掘。如有文物遗存等重要发现，应做好现状保护，并对项目方案进行必要调整，避让考古发现分布区域。 （二）应完善项目施工方案，重点细化开挖施工方案及控制要求，补充针对施工区域长城下部载体必要的加固、保护或支护措施，避免因项目施工导致载体出现沉降、位移等地质问题，威胁长城文物本体安全。 （三）应适当加大拟建管道埋设深度，并通过调整线路角度等措施，尽可能拉大拟建管道与长城之间的距离，完善施工和运营期间的监测措施、应急预案和长城文物本体临时保护措施。 （四）应进一步明确场地布置、施工组织、生态保护等要求，细化施工期间的垃圾、粉尘等污染物处置要求。施工完成后，应做好场地清理和环境恢复工作，并在长城周边适当设置标识及展示设施。 二、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 三、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年5月20日
国家文物局关于北齐长城东大云疃山险保护区划内张北——雄安1000KV特高压交流输变电工程包3段建设项目的意见,文物保函[2019]457号,"行政审批,世界遗产",文物保函〔2019〕457号 河北省文物局： 你局《关于呈报张北 —— 雄安1000KV特高压交流输变电工程包3段跨越长城设计方案的请示》（冀文物字〔2019〕37号）收悉。经研究，我局原则同意在北齐长城东大云疃山险保护区划内实施张北 —— 雄安1000KV特高压交流输变电工程包3段建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）应组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，如遇有城墙遗存等重要发现，应调整设计方案，确保文物安全。 （二）应优化拟建铁塔选址，尽可能将3S071号铁塔选址移至东大云疃山险建设控制地带以外，以降低其对长城景观风貌的负面影响。 （三）应补充拟建项目施工方案，细化3S070、3S071号铁塔基础开挖施工要求，明确振动控制、施工组织及监测预警措施，施工区域应尽量远离长城遗存。 （四）应补充拟建项目施工期间的长城本体临时性保护措施、应急预案，以及极端天气条件下防止输电线路威胁长城安全的保护措施。 （五）应补充施工后期的环境修复措施，并结合项目实施适当设置长城保护标志、保护界桩和警示标识。 二、请你局指导相关单位根据以上意见对所报项目进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 三、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有地下文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2019年5月17日
国家文物局办公室关于巴克什营旅游文化产业园项目涉及长城建设控制地带相关设计方案的意见,办保函[2018]519号,世界遗产,办保函〔2018〕519号 河北省文物局： 你局《关于呈报巴克什营旅游文化产业园项目长城建设控制地带规划设计方案的请示》（冀文物字〔2018〕46号）收悉。经研究，我局暂不同意所报方案，并提出意见如下： 一、应补充基于大比例尺地形图的拟建项目总平面图，准确标注相关长城点段位置及其保护范围和建设控制地带，明确拟建项目已实施部分、已整改拆除部分、拟建部分的具体范围。补充该长城点段保护区划管理规定，并作出符合性说明。 二、应进一步完善文物考古调查勘探报告，组织相关领域专家对发现的各类遗址遗迹价值及其与相关长城点段的关系进行论证，并在拟建项目总平面图上标注考古勘探区域和发现各类遗址遗迹的具体位置、范围，明确其与拟建项目的空间位置关系。 三、应组织熟悉世界文化遗产保护管理要求的机构开展拟建项目文物影响评估工作，提升评估的专业性和客观性，全面分析拟建项目对长城文物本体及其周边生态环境、景观风貌的影响，并就弱化不利影响提出意见或建议，为完善拟建项目方案提供科学依据。 四、应在上述工作基础上，修改完善拟建项目设计方案，避让长城保护范围和重要遗址遗迹。对于项目已实施部分，须提出视线遮挡、加大第五立面和垂直绿化等缓解景观风貌影响的整改措施。对于拟建部分，应进一步论证选址，核减建筑规模和体量，优化外观设计，使其与长城及周边环境相协调。同时，应调整拟建遗址公园设计，减少人工干预，突出自然化、本土化。 五、应补充拟建项目施工及运营期间的文物本体临时保护措施、环境保护措施、应急预案以及相关管理措施，明确施工过程中的文物保护、生态环境保护和景观风貌保护要求，细化粉尘及废弃物等污染物处置要求，避免污染文物及其周边环境。 请你局指导相关单位根据以上意见对所报项目方案进行修改、完善后，另行依法报批。 特此函复。 ? ???????????? ? 国家文物局办公室 ? 2018年5月29日
国家文物局关于北京西——石家庄1000千伏交流特高压输变电工程通过商庄墙止至黑龙口墙起间消失长城段设计方案的意见,文物保函[2018]666号,世界遗产,文物保函〔 2018〕666号 河北省文物局： 你局《关于呈报北京西——石家庄1000千伏交流特高压输变电工程跨越商庄墙止至黑龙口墙起间消失长城设计方案的请示》（冀文物字〔2018〕90号）收悉。经研究，我局意见如下： 一、原则同意所报北京西——石家庄1000千伏交流特高压输变电工程在河北省保定市商庄村与黑龙口村之间区域以架设线塔方式通过商庄墙止至黑龙口墙起间消失长城段（长城认定编码：130625382301020028）设计方案。 二、对该项目提出以下意见： （一）应组织专业考古机构对拟建线塔区域开展进一步的考古调查勘探和必要的考古发掘。如发现重要文物，应调整拟建输变电工程设计方案。 （二）应科学设计拟建线塔高度，合理调节线缆离地间距，避免在保护范围内拖地铺设，控制线塔对周边生态环境和景观风貌的影响。 （三）应细化施工期间的文物监测措施、保护应急预案和施工后期生态环境及景观风貌修复措施。 三、请你局指导相关单位根据以上意见对所报项目进行修改、完善后，按《中华人民共和国文物保护法》第十八条的规定，报河北省城乡建设规划部门批准实施。 四、请你局加强对拟建工程的监管，确保文物及其生态环境和景观风貌的安全。工程实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 五、请你局指导相关单位组织专业考古机构结合此次工程，对该消失长城段进行考古调查勘探，明确长城走向及可能存在的相关遗存分布情况，并将考古调查勘探情况及相关工作意见报我局。 ? ???? ???? 国家文物局 2018年6月27日 ?
国家文物局办公室关于北京延庆长城110229353102170010号城堡（柳沟古城）东南城墙体保护展示项目设计方案的意见,办保函[2018]1101号,"行政审批,保护工程",办保函〔2018〕1101号 北京市文物局： 你局《北京延庆区长城110229353102170010号城堡（柳沟古城）东南城墙体抢险加固及展示工程设计方案的请示》（京文物 〔2018〕 1500号）收悉。经研究，我局暂不同意所报方案。 一、所报方案尚需做以下必要的修改和完善： （一）应切实加强现场勘察和基础资料梳理，进一步开展必要的考古工作，明确柳沟古城城堡形制、建筑材料、建造工艺等，为科学编制方案提供依据。 （二）深化遗址病害研究，明确城堡夯土裂缝、坍塌、缺失等病害的成因、位置、类型、程度及发展趋势，并制定针对性保护措施。应坚持最小干预原则，严格控制项目范围和强度，重点加固结构失稳墙体，不得大面积恢复外包砖墙。 （三）充分论证东城门展示性复原的考古依据和必要性，深化钢结构展示棚设计内容，补充展示棚效果图、墙体周边环境整治措施、墙体顶部植物处理措施。 二、请你局指导方案设计单位根据上述意见对所报方案做进一步修改和完善后，按程序另行报批。 三、请你局督促地方人民政府落实主体责任，做好依附长城兴建的现代建筑、生产生活用地的综合整治工作，并加强日常巡护管理，确保文物安全。 四、请你局切实加强管理，按照《长城保护维修工作指导意见》、《文物保护工程设计文件编制深度要求（试行）》等，指导有关单位做好长城保护维修项目方案编制工作，确保上报方案文本的科学性、规范性和可操作性。 专此函复。 国家文物局办公室 2018年11月15日
国家文物局关于庙山口长城保护区划内中俄东线天然气管道工程（长岭——永清）河北段建设项目意见的函,文物保函〔2020〕76号,"涉建项目,行政审批",文物保函〔2020〕76号 河北省文物局： 你局《关于呈报中俄东线天然气管道工程（长岭——永清）河北段穿越庙山口长城设计方案的请示》（冀文物字〔2019〕150号）收悉。经研究，我局原则同意在庙山口长城保护区划内实施中俄东线天然气管道工程（长岭——永清）河北段建设项目。 一、所报方案尚需作以下必要的修改和完善： （一）完善顶管施工（含操作坑部分）方案，加大管道埋设深度，长城保护区划内避免管线直埋，顶管操作坑进一步远离长城本体（包括潜在的地下遗存），避免施工造成文物损伤。 （二）补充工程实施范围与长城本体的相对位置关系图，严禁在地表现存墙体部位穿越。 （三）补充项目施工和运营期间的监测措施，施工过程中应严格控制施工强度，并制定相应的应急预案和临时性保护措施。 （四）进一步明确场地布置、施工组织、生态保护等要求，制订场地清理和环境恢复措施，降低建设活动对长城景观风貌和生态环境的影响。 二、请你局组织专业考古机构对拟建项目相关区域做进一步的考古调查、勘探和必要的考古发掘，考古发掘项目需另行填报考古发掘申请书。 三、请你局指导相关单位根据以上意见对所报项目方案进行修改、完善，并按照《中华人民共和国文物保护法》的有关规定，履行相应审批手续后实施。 四、请你局会同相关部门加强对项目实施过程的全程监管，组织专业机构参与指导，确保文物安全。项目实施过程中如有文物遗存等重要发现，应立即停止施工并组织研究，提出调整方案。 专此函复。 国家文物局 2020年1月19日
